Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 66.0.3359.181,,2018-05-26 00:48:02,2018-05-26 00:48:30,27.880s,FAILED
,,,,,,
Test Cases/GoogleSearch,Chrome 66.0.3359.181,,2018-05-26 00:48:03,2018-05-26 00:48:30,26.977s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-05-26 00:48:03,2018-05-26 00:48:08,4.753s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-26 00:48:08,2018-05-26 00:48:08,0.247s,PASSED
click,Chrome 66.0.3359.181,,2018-05-26 00:48:08,2018-05-26 00:48:10,2.028s,PASSED
click,Chrome 66.0.3359.181,,2018-05-26 00:48:10,2018-05-26 00:48:10,0.117s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-26 00:48:10,2018-05-26 00:48:30,19.449s,FAILED
